species,date,plant,tissue type,HCN
P.arbelaezii,10/30/12,bridge,new leaf,2.8
P.vitifolia,11/1/12,sp3,mature leaf,0.001
P.vitifolia,11/1/12,sp3,new leaf,0.003
P.vitifolia,11/1/12,sp3,stem,0.082
P.vitifolia,11/1/12,sp3,stem,0.385
P.vitifolia,11/1/12,sp3,new leaf,0.003
P.vitifolia,11/1/12,sp3,tendril,0.007
P.vitifolia,11/1/12,sp3,mature leaf,0.001
P.vitifolia,11/1/12,sp3,new leaf,0.001
P.vitifolia,11/1/12,sp3,stem,0.016
P.vitifolia,11/1/12,sp3,stem,0.09
P.arbelaezii,11/2/12,CAZ 189,mature leaf,5.13906
P.arbelaezii,11/2/12,CAZ 189,new leaf,4.02465
P.arbelaezii,11/2/12,CAZ 189,new leaf,5.91741
P.arbelaezii,11/2/12,CAZ 189,mature leaf,4.41324
P.arbelaezii,11/2/12,CAZ 189,new leaf,6.49033
P.arbelaezii,11/2/12,CAZ 189,mature leaf,5.2963
P.lobata,11/3/12,SUR 365,new leaf,0.004
P.lobata,11/3/12,SUR 365,mature leaf,0.002
P.lobata,11/3/12,SUR 365,old leaf,0.002
P.lobata,11/3/12,SUR 365,stem,0.002
P.lobata,11/3/12,SUR 365,stem,0.006
P.lobata,11/3/12,SUR 365,tendril,0.002
P.menispermifolia,11/4/12,inner gate,old leaf,0.03335
P.menispermifolia,11/4/12,inner gate,new leaf,8.01538
P.menispermifolia,11/4/12,inner gate,mature leaf,7.1162
P.auriculata,11/4/12,front gate,mature leaf,0.15528
P.auriculata,11/4/12,front gate,new leaf,0.1334
P.auriculata,11/4/12,front gate,stem,0.84869
P.arbelaezii,11/4/12,CAZ 156,new leaf,4.90555
P.arbelaezii,11/4/12,CAZ 156,mature leaf,2.44091
P.pittieri,11/5/12,lab,stem,4.933
P.arbelaezii,11/5/12,CAZ 204,new leaf,7.022
P.arbelaezii,11/5/12,CAZ 204,mature leaf,2.043
P.arbelaezii,11/5/12,CAZ 204,stem,4.809
P.arbelaezii,11/6/12,CAZ 272,new leaf,8.5343
P.arbelaezii,11/6/12,CAZ 272,mature leaf,7.87351
P.arbelaezii,11/6/12,CAZ 272,new leaf,8.40551
P.arbelaezii,11/6/12,CAZ 272,stem,2.96214
P.auriculata,11/8/12,boat ramp,new leaf,0.08977
P.auriculata,11/8/12,boat ramp,mature leaf,0.02921
P.biflora,11/8/12,inner gate,new leaf,6.12857
P.biflora,11/8/12,inner gate,mature leaf,1.53898
P.biflora,11/9/12,bridge n,flower,0.009
P.biflora,11/9/12,bridge n,flower,0.68399
P.biflora,11/9/12,bridge n,flower,1.29152
P.biflora,11/9/12,bridge n,flower,3.19196
