plant,branch,HCN,logHCN
GARDEN,branch 1,0.26,0.59
GARDEN,branch 1,0.4,0.4
GARDEN,branch 2,0.27,0.58
GARDEN,branch 2,0.4,0.4
GARDEN,branch 2,0.24,0.62
GARDEN,branch 3,0.44,0.35
GARDEN,branch 3,0.18,0.75
GARDEN,branch 3,0.63,0.2
GARDEN,branch 4,0.25,0.6
GARDEN,branch 4,0.21,0.67
GARDEN,branch 4,0.67,0.17
BOAT,branch 1,0.04,1.39
BOAT,branch 1,0.02,1.67
BOAT,branch 1,0.01,2
BOAT,branch 2,0.06,1.21
BOAT,branch 2,0.05,1.29
BOAT,branch 3,0.01,2.05
BOAT,branch 3,0.03,1.61
BOAT,branch 3,0.09,1.06
BOAT,branch 4,0.01,2
BOAT,branch 4,0.01,1.96
BOAT,branch 4,0.04,1.45
SP1B,branch 1,0.02,1.82
SP1B,branch 1,0.01,2.22
SP1B,branch 1,0.01,2.22
SP1B,branch 2,0.01,2.3
SP1B,branch 2,0.01,2.26
SP1B,branch 2,0.01,2.16
SP1C,branch 3,0.13,0.87
SP1C,branch 3,0.29,0.53
SP1C,branch 3,0.27,0.57
SP1C,branch 4,0.01,1.96
SP1C,branch 4,0.06,1.24
SP1C,branch 4,0.04,1.41
SP4A,branch 1,0.12,0.92
SP4A,branch 1,0.14,0.87
SP4A,branch 1,0.1,1
SP4A,branch 2,0.1,1
SP4A,branch 2,0.13,0.88
SP4A,branch 2,0.07,1.17
SP4A,branch 3,0.84,0.08
SP4A,branch 3,0.35,0.46
SP4A,branch 3,0.13,0.9
SAZGR,branch 1,0.26,0.58
SAZGR,branch 1,0.16,0.81
SAZGR,branch 1,0.12,0.94
SAZGR,branch 2,0.09,1.03
SAZGR,branch 2,0.1,1.02
SAZGR,branch 2,0.09,1.03
SAZGR,branch 3,0.03,1.55
SAZGR,branch 3,0.04,1.37
SAZGR,branch 3,0.1,1
SP4D,branch 1,0.01,1.89
SP4D,branch 1,0.02,1.82
SP4D,branch 1,0.01,2.1
SP4D,branch 2,0.09,1.04
SP4D,branch 2,0.07,1.17
SP4D,branch 2,0.08,1.12
FLA,branch 1,0.05,1.29
FLA,branch 1,0.19,0.72
FLA,branch 1,0.15,0.83
FLA,branch 2,0.02,1.76
FLA,branch 2,0.27,0.56
FLA,branch 2,0.22,0.65
FLA,branch 3,0.05,1.31
FLA,branch 3,0.32,0.49
FLA,branch 3,0.16,0.79
FLA,branch 4,0.2,0.69
FLA,branch 4,0.26,0.58
FLA,branch 4,0.17,0.77
