species ,unique,cupPAIR,spec.cup,log10cupPAIR,log10spec.cup,mpPAIR,spec.mp,log10mpPAIR,log10spec.mp
P.pittieri,PIT SURA 916W,2.804942394,4.703,0.447923946,0.672374979,3.95780016,6.0678,0.597453862,0.783031258
P.pittieri,PIT CES 850N,,,,,12.81779854,8.515813099,1.107813441,0.930226121
P.pittieri,PIT LabCLearing,7.504680252,5.041,0.875332193,0.702516697,4.523815915,6.387,0.655504924,0.805296916
P.pittieri,PIT LabCLearing,30.90444999,24.78289,1.490021019,1.394151949,10.20514671,14.78289,1.008819252,1.169759345
P.pittieri,PIT garden ,33.18284739,30.3918,1.52091365,1.482756423,38.88793921,41.62150847,1.589814929,1.619317816
P.pittieri,PIT garden ,14.64638166,6.2124,1.165730347,0.793259411,7.751685134,3.1252,0.889396124,0.494877816
P.costaricensis,COS SP-1N,31.69875581,13.43,1.501042216,1.128076013,4.185439539,3.336,0.621741073,0.523226042
P.costaricensis,COS JS,3.063303786,3.25984,0.486190068,0.513196284,2.439724588,2.95714,0.387340803,0.470871886
P.costaricensis,COS SP-3N,10.93454527,2.16404571,1.038800727,0.33526643,4.913398611,6.290875117,0.691381999,0.798711064
P.costaricensis,COS SP-1W,6.398844703,6.75846,0.80610157,0.829847748,10.08634487,8.72067,1.003733813,0.940549853
P.coriacea,COR FLA4-1N,0.500058285,1.0682,-0.300979373,0.028652574,0.153925168,0.80342,-0.812690363,-0.095057361
P.coriacea,COR FLA4-2N,0.302476613,0.082,-0.519308198,-1.086186148,2.795244884,6.1691,0.446419861,0.79022181
P.coriacea,COR FLA4-3S,0.434422858,2.95613,-0.362087331,0.470723529,0.139839992,0.079284111,-0.854368608,-1.100813838
P.auriculata,AUR SDS-1W,0.282846896,0.90757,-0.548448582,-0.042119868,0.197151188,5.56621,-0.705200602,0.745559587
P.auriculata,AUR DS,0.040687202,0.01083,-1.39054217,-1.965371543,0.036142918,0.01013,-1.441976794,-1.994390555
P.auriculata,AUR garden,1.846686845,11.38295,0.266393255,1.056254828,0.697274317,11.38638,-0.156596331,1.056385674
P.ambigua,AMB SOR 170N,6.811285572,3.59502,0.833229089,0.555701311,4.995478566,8.073157612,0.6985771,0.907043431
P.ambigua,AMB garden,0.57189952,1.0991,-0.242680268,0.041037208,0.190531503,0.992,-0.720033207,-0.003488328
P.ambigua,AMB LabClearing-1,6.827291161,6.3545,0.834248424,0.803081384,6.669286785,0.5477,0.824079393,-0.261457259
P.arbelaezii,ARB LabClearing,4.415926451,3.089,0.645021831,0.489817908,1.331416851,2.5839,0.124314049,0.412275702
P.arbelaezii,ARB LabClearing,5.703538204,10.36621,0.756144355,1.015620003,3.058867551,8.46721,0.485560672,0.927740331
P.arbelaezii,ARB garden,6.000158294,6.5709,0.778162708,0.817624858,8.85745795,16.39174,0.947309099,1.214625057
P.arbelaezii,ARB garden,3.058867551,3.28912,0.485560672,0.517079719,5.703538204,11.90777,0.756144355,1.075830438
P.biflora,BI SAZ 808S,2.559338032,2.70032,0.40812765,0.431415233,10.10788415,9.45113,1.004660256,0.975483737
P.biflora,BI DS,2.131436089,4.88622,0.328672315,0.688973017,3.380257778,6.184678864,0.528949821,0.791317154
P.biflora,BI SAZ 299S,3.631477839,4.6334,0.560083398,0.665899794,3.664338179,3.780452969,0.563995548,0.57754384
P.biflora,BI SDS-1E,10.10788415,4.48888,1.004660256,0.652137996,5.835478726,6.18468,0.76607649,0.791317234
P.biflora,BI CAZ-2S,7.260363394,13.82700548,0.860958358,1.140728135,5.190765477,8.51040067,0.715231408,0.929950007
P.menispermifolia,MEN SP5E,9.66191237,2.252,0.985063094,0.352568386,8.500938337,4.321,0.929466866,0.635584266
P.menispermifolia,MEN SAZ 659S,13.47099695,5.06872,1.129399738,0.704898301,15.87158418,17.06342,1.200620277,1.232066081
P.menispermifolia,MEN OETgate-1S,15.75667947,3.5141,1.1974647,0.545814116,8.829545202,2.364,0.945938334,0.373647472
P.menispermifolia,MEN garden,15.49413807,3.4022,1.190167422,0.53175984,16.48302122,4.3787,1.217036818,0.641345191
